او ممکن است آنها را با عجله در آنجا انباشته باشد.<sep>ممکن است آنها با عجله در آنجا انباشته شده باشند.	e
درحمله ای جداگانه در بزرگراه پايتخت به فرودگاه مردان مسلح به دو اتومبيل که احتمالا حامل پيمانکاران غير نظامی بود، حمله کردند.<sep>حمله ای در بزرگراه پايتخت به فرودگاه رخ داد.	e
سهم بازار در کل دارای تغییرات بسیاری است و شما ممکن است زمانی در مقام نخست باشید اما در شش ماه بعد، این جایگاه عوض شود.<sep>بازار بسیار پر نوسان است.	e
خوب ، من حدس می زنم که من بهتر است یک اتومبیل ، یک شیک اش را بخرم ، مانند یک راننده لباس بپوشم و در بیرون بگردم.<sep>فکر می کنم ممکن است یک ماشین ارزان بخرم و مشاغل خدمات رانندگی خودم را راه اندازی کنم ، شاید پول خوبی کسب کنم.	n
در ارتفاع 1467 متری (۴،۸۱۳ فوت) ، بر جنوب سرسبز و ناهموار Basse Terre تسلط دارد.<sep>در شمال باس Terre واقع شده است.	c
رسوب اسیدی یا باران اسیدی وقتی که SO2 و NOx در اتمسفر با آب، اکسیژن،و اکسیدان ها واکنش می دهند و ترکیبات اسیدیتشکیل می دهند، به وجود می آید.<sep>آب و نیتروژن در اتمسفر باعث به وجود آمدن باران اسیدی می شود.	c
 نرخ مشارکت اقتصادی در کل کشور 11.8 درصد به دست آمده است.<sep>نرخ بیکاری جمعیت 10 ساله و بیشتر‌در کل کشور 11.8 درصد به دست آمده است.	n
اگر چه در ابتدا این خبر به زندگی او صدمه می‌زند، اما کریستینا/صوفیه در نهایت خود را باز می‌یابدو برای مراقبت از الیسا و شروع به تحقیقات دربارهٔ سرنوشت پدر و مادرش می‌کند.<sep>کریستینا/صوفیه تحقیقات درباره سرنوشت پدر و مادرش را از الیسا شروع کرد.	n
با وجود آن‌که اساس آن تعلیمات بر تفسیر داوود قیسری بر فسوس بنا شده بود، اما خمینی تأیید کرده‌است که شاه‌آبادی بخشی از بینش و بصیرت شخصی خود را نیز در این آموزش دخیل کرده‌بود.<sep>بعد از آن، به‌دنبال درخواست‌های پیاپی او، شاه‌آبادی راضی می‌شود که به او و چند طلبهٔ برگزیدهٔ دیگر فصوص‌الحکم ابن عربی را آموزش دهد.	e
عصر روز سوم شهریور و در حالی که پیشروی قوای بریتانیا و شوروی در شمال و جنوب خاک ایران ادامه داشت، رجبعلی منصور با مشاهده بحرانی بودن اوضاع تصمیم به استعفاء گرفت.<sep>رجبعلی منصور به تلاش های خود برای کنترل اوضاع ادامه داد.	c
ولی وی اضافه ميکند که رساندن اين کمکها در ميان بيمارستانها بعلت مشگلات امنيتی کاری بس دشوار خواهد بود.<sep>تمامی مشکلات امنیتی برطرف شده است.	c
لومیا ۹۲۰ دارای یک صفحه نمایش انحنا دار ۴٫۵ اینچی با دقت ۱۲۸۰×۷۶۸ است که به تکنولوژی جدید نوکیا یعنی PureMotionHD+ نیز مجهز شده است.<sep>لومیا دارای تکنولوژی جدید نوکیا است.	e
بچه فیل های نر در دوازده سالگی گله را ترک می کنند، اما فیل های ماده تمام طول عمر خود را با گله سپری می کنند.<sep>فیل‌های ماده تمایلی به ترک گله ندارند.	e
۷۷ به آرامی گفت: «قیمت، به هر صورت، باید بسیار زیاد باشد.»<sep>او فکر می کند که به هر حال قیمت در تابستان بسیار زیاد است.	n
مأموریت علاء در پاریس، سه سال به طول انجامید و در بازگشت از آنجا به ریاست هیئت مدیره بانک ملی ایران گماشته شد.<sep>امکان به ریاست هیئت مدیره ی بانک ملی ایران رسیدن برای علا، میسر نشد.	c
جان پرسید: استارک کیست؟<sep>جان پرسید که استارک کیست و برای امرار معاش چه کاری انجام می داده است.	n
من همیشه شنیده ام که شما انقلابیون زندگی را ارزان پنداشته اید ، اما به نظر می رسد وقتی پای زندگی خود شما در میان باشد، قضیه فرق میکند<sep>من دائماً شنیده ام که شما انقلابیون برای زندگی بسیار ارزش قائل هستید.	c
هنگامی که طغرل بر ولی نعمت خود عبدالرشید شورید، ابراهیم و برادرش فرخزاد در زندان برغند در بند بودند.<sep>عبدالرشید، ولی نعمت طغرل بود	e
همیشه به نظرم می رسد که آن دسته از افرادی که باید بیشترین حقوق را دریافت کنند معلم ها هستند چراکه آینده ما در دست آنهاست. اما این اتفاق نمی افتد. همچنین فکر می کنم سیستم آمورشی کاستی های دارد.<sep>معلمان مهمترین مشاغل را دارند.	n
بله ، تابستان گذشته خرگوش داشتیم و او را او واگذار کردیم ، زیرا دختران علاقه شان را  به او از دست دادند وما به خرگوش حساسیت نشان دادیم.همینطور بسختی برای او اسم انتخاب کردیم. اسمش را شوگرخ گذاشتیم که از عقب خرگوش می شود. <sep>ما هرگز صاحب یک خرگوش نشده ایم.	c
کارکیا سید احمد بن علی (حکومت: ۹۴۳–۹۷۵ و ۹۸۵–۱۰۰۰) به دستور شاه تهماسب مذهب اثنی عشری را جایگزین زیدیه کرد ولی وقتی شروع به توطئه با عثمانیان کرد و خواست برای حمله به قزوین به شیروان و لاهیجان سرباز بفرستند از چشم شاه افتاد.<sep>توطئه با عثمانیان و فرستادن سرباز به شیروان و لاهیجان برای حمله به قزوین توسط کارکیا سید احمدبن علی، باعث شد از چشم شاه تهماسب بیفتد.	e
ماهی ساکه از نظر نوع بسیار شباهت به ماهی سالمون دارد ولی کاملاً با آن یکسان نیست.<sep>تخم این ماهی هم مثل خاویار معمولی قابل خوردن است. 	n
شکل گیری صفحات قاره ای و توسعه مناطق مختلف آب و هوایی را تجربه کنید ، سپس تعامل های پیچیده و پویا را که باعث می شود سیاره ما کار کند را کشف کنید.<sep>تجربه تشکیل مناطق مختلف آب و هوایی یک فعالیت پر مزیت است.	n
در اطراف او باقی مانده های استیک وجود داشت.<sep>هیچ عضو استیک باقی نماند.	c
فصل ، ما به دو مورد اساسی روی می آوریم. چه مواردی را برای واقع بینی و کلی بودن در مطالعات موردی باید در نظر بگیریم؟<sep>واقع بینی در مطالعات موردی  باید در نظر گرفته شود.	e
پس از استقرار بر اسکله تبادل آتش گسترده صورت گرفت. در نتیجه، تعدادی از عراقی‌ها فرار کردند و تعدادی نیز اسیر شدند.<sep>سربازان عراقی زیر حملات دشمن دوام نیاوردند و فرار کردند.	e
می خواهم ذهن آنها را به کار بیندازید.<sep>من می خواهم که شما یک آزمایش انجام دهید که برای آنها مهیج باشد.	n
احمد خرم نیز پس از استانداری خوزستان، به استاندار همدان شد و در دولت دوم سید محمد خاتمی به‌عنوان وزیر راه و ترابری انتخاب شد.<sep>وی هم‌اکنون معاون سیاسی وزیر کشور می‌باشد.	n
آیا آن ها سرنخی داشتند یا این که 103 همه چیز در دسته ی جرایم کشف نشده باقی خواهد ماند.<sep>این افراد شرور هر سال بی تجربه تر می شوند.	n
توان تولید روزانه گاز این میدان، برابر با ۲/۱۵ میلیون متر مکعب و تولید میعانات گازی آن، ۱۱۴۹۰ بشکه‌ است.<sep>میدان گازی نامبرده در حال حاضر هم گاز مورد درخواست داخلی را تولید میکند و هم مقداری از آنرا به کشورهای همسایه میفروشد. 	e
تا پایان سال این تک‌آهنگ ۸۵۴٬۰۰۰ نسخه فروش رفت که البته بیشترین فروش نبود اما جزو پرفروش‌ترین‌ها محسوب می‌شد.<sep>این تک آهنگ که بر روی چارت تک آهنگها به رتبۀ دو رسیده بود، بعدها، جزو پر فروشترینها شد. 	e
ما قتل در چشمان آنها و خون روی دست آنها را دیدیم.<sep>ما خون در دستان پلید و قتل در چشمان شیطانی آنها دیدیم.	n
پس از انقلاب ۱۸۶۸ اسپانیا ایزابلای دوم خلع‌شد، یک دولت موقت و یک نیابت سلطنت تحت فرمان فرانسیسکو سرانو ای دومینگس ایجاد شد، که به‌عنوان رئیس کشور عمل می‌کرد، از ۸ اکتبر ۱۸۶۸ تا ۴ دسامبر ۱۸۷۰ هنگامی که از او برای عنوان فرمانروای جدید خواسته‌شد.<sep>ایزابلای دوم تا ۴ دسامبر ۱۸۷۰ به عنوان رئیس کشور عمل می‌کرد.	c
در قلب پناهگاه ، یک حرم گرانیتی کوچک وجود دارد که زمانی بارگاه مقدس خود هوروس را شامل می شد.<sep>هوروس یک حرم دارد.	e
همچنین پدرش گاهی قطعه‌هایی زیبا و لطیف از کتاب‌های خارجی جمع می‌کرد و پس از ترجمه آن‌ها به فارسی، پروین را تشویق می‌کرد تا آن را به صورت شعر درآورد.<sep>پدرش ترجمه کتاب های خارجی را به پروین می سپرد.	c
به گفته وی شاخص های بورس به عنوان تابعی از وضعیت کلی اقتصاد کشور و همین طور شاخص پیش بینی کننده بازارسرمابه بر اساس وضعیت کنونی اقتصاد کشور چشم انداز روشنی پیش رو ندارد البته ممکن است که رشد بازار و حرکت نقدینگی به سوی آن در بلند ملت صورت گیرد اما این امر به سه عامل مهم در اقتصاد کلان کشور بستگی دارد.<sep>کارشناسان به روند رشد بورس خوشبین هستند.	c
در پس این حمله، کیافخرالدین جلال و سپس کیاوشتاسف به همراه فرزندانشان کشته‌شدند.<sep>آنها ازین مبارزه جان سالم بدر می برند.	c
جان ، فکر کرد سوزان وارد غارها شود.<sep>جان فکر کرد سوزان باید به سمت غارها حرکت کند.	e
با این وجود تعدادی از شیوه ها و استراتژی های جایگزین وجود دارد که مدیران ارشد سازمان های پیشرو برای کمک به تعریف و ایجاد مواضع CIO خود به منظور برآورده کردن نیازهای شغلی کمک می کنند.<sep>هم اکنون هیچ روش و استراتژی ای وجود ندارد که بتواند به CIO ها کمک کند تا نیازهای تجاری را برآورده سازند.	c
فقط نازک نارنجی ها به وزغهای غول پیکر و مارهای غارپیمای کوچک سفید بی ضرر اعتراض خواهند کرد.<sep>مارهای کوچک سفید غارپیما مضر هستند.	c
مرد مسلح، که دانشجوی سابق یک دانشگاه حومه شیکاگو بود، روز پنجشنبه با دو هفت تیر و یک تفنگ شکاری به سالن سخنرانی مملو از دانشجویان رشته علوم وارد شد و پس از کشتن پنج تن و زخمی کردن ۱۶ تن دست به خودکشی زد.<sep>مقامات ایالت ایلینوی آمریکا میگویند یک مرد مسلح در یکی از دانشگاههای حومه شیکاگو به روی دانشجویان آتش گشود و پنج تن را کشت.	e
سگ عروسکی روسی ، نام یکی از نژادهای سگ است که خاستگاه آن به روسیه بازمی‌گردد.<sep>اگر برای مقاصد توریستی به روسیه رفته باشید میتوانید با تورهای خاصی به مناطق جنگلی خاصی رفته و سورتمه سواری با سگها را تجربه کنید. 	n
در عوض ، او می تواند کاملاً بدخلق باشد.<sep>او در همه زمان ها گرم و شوخ بود.	c
اما در آنجا خان دوم ده، فتح‌الله خان گله داری از محمود پدر ستایش کینه دیرینه دارد.<sep>روابطش با پدر ستایش خوب نیست.	e
از جنبه های دیگر ، آنها ناسیونالیسم بیگانه هراسی را نیز برانگیخته اند.<sep>آنها گردشگران خارجی را دوست ندارند چراکه معتقدند که فرهنگ ملی را ضعیف می کنند 	n
خبرگزاری عربستان سعودی گزارش می دهد ملک فهد در بيمارستان بستری شده است، اما حال او در پی آزمايشات پزشکی رضايتبخش است.<sep>ملک فهد در بيمارستان بستری است اما حلش رضايت بخش است	e
اما آقای گل ميگويد دانشگاهها بايد به روی طرفداران تمامی عقايد و نظرات باز باشد.<sep>دانشگاه‌ها رو آزادی عقاید و نظرات سرمایه گذاری خواهند کرد.	n
سن مالو یک بندر مهم ماهیگیری ، ترمینال کشتی و بندر قایق بادبانی است.<sep>سنت مالو هنوز به عنوان بندر ماهیگیری از اهمیت خاصی شناخته می شود.	e
هوشيار زباری وزيرامورخارجه عراق می گويد نيروهای تحت رهبری آمريکا پس از۳۰ ژوئن وانتقال حاکميت به دولت موقت عراق بايد همچنان برای برقراری امنيت درعراق باقی بمانند.<sep>دولت عراق خواستار خروج نیروهای آمریکایی است.	c
بر خلاف دانش آموزان تهران یا شیراز ، آنها ادامه دادند و پیروز شدند.<sep>آنها بدلیل استقامت و استمرار خود بر خلاف دانشجویان تهران ، چیزی پیروز شدند.	e
موقعیت جغرافیایی روستای کران: روستای کران دارای مساحت ۱۱۳٫۶ هکتاری بوده و ساختار مسکونی روستا ساختاری خطی است.<sep>مردمان این روستا به زبان بختیاری صحبت میکنند. 	n
من حقایق را نمی پوشانم.<sep>من حقایق را میپوشانم.	c
او رهبر گروه جنایتکار ۱۰۰ است و در کنار پیروانش با بتمن، تیم ابرقهرمانی آوت‌سایدرز و همچنین ثورن مبارزه کرده است.<sep>او در زمانهای مختلف در مقابل بتمن و در زمان هایی دیگر با ثورن جنگیده است.	e
--<sep>--	e
مرگ او به علت سرطان ریه بود.اگر چه در تاریخ اجراهای تلویزیونی به نام کافن به عنوان یک کمدین نگریسته می‌شود، اما او خود را یک کمدین نمی‌دانست و خود را با نام «مرد رقص و آواز» لقب داده بود.<sep>او همواره خود را از برترین کمدین‌های تاریخ می‌دانست ولی در جوانی در اثر سرطان در گذشت.	c
خیلی ساده نبود ، با یک گچ بلند!<sep>این با هر اندازه گیری سخت بود.	e
آباد یکی از مستعدترین نویسندگان بومی دوران پس از رونق ادبی آمریکای لاتین به حساب می‌آید.<sep>از نویسندگان مهم آمریکای لاتین می توان از آباد نام برد.	e
سخنگوافزود اما یونان با عضویت مقدونیه مخالفت خواهد کرد.<sep>یونان مشکلی با عضویت مقدونیه ندارد.	c
"یوتی‌ایر اوییشن"، یک شرکت هواپیمایی روسی است که در سال ۱۹۶۷ توسط خطوط هواپیمایی آئروفلوت تأسیس شد و در حال حاضر روزانه به ۷۲ مقصد، در آسیای مرکزی، آسیای جنوبی، آسیای جنوب شرقی، غرب آسیا و اروپا پروازهای مستقیم دارد.<sep>این شرکت یک شرکت دولتی است که بیش از پنجهزار نفر کارمند دارد. 	n
در واقع بیشتر سپتاها به صورت منحنی هستند و نمای حباب صابونی یا کندوی عسل را ایجاد می‌کنند اما دیدن یک یا دو سپتای مستقیم می‌تواند به تشخیص افتراقی این تومور کمک شایانی کند.<sep>همیشه تغییرات عجیب در سلولها نشانۀ احتمال سرطان است. 	n
شب نبرد عنوان یک مجموعه بازی ویدئویی مرتبط با ورزش بوکس که توسط ای‌ای اسپورتس ساخته شده‌است.<sep>EA sports بازی‌های مربوط به ورزش می‌سازد	e
نولا دارلينگ زن جوان بی بند و بار و آزاده ايست که ۳ تا دوست پسر يا معشوق دارد، اما بقدری مستقل و آزاديخواه است که حاضر نيست به دام هيچکدامشان بيفتد.<sep>زيباترين و مرموز ترين مخلوق اسپايک لی زن جوان بی قیدی است که با افراد زیادی رابطه دارد.	e
با این حال ، یک طرف از خلیج با فوران هتل های باشکوه مدرن احاطه شده است.<sep>هتل های مدرن همه دارای استخر و رستوران های بزرگ هستند.	n
به هر حال، برادران رضایی پس از خرید سهام گروه با سفارت شوروی شریک شدند.<sep>برادران رضایی و سفارت شوروی، هر دو سهام دار گروه هستند.	e
سویا ممکن است سطح قندخون را پایین بیاورد پس افراد دیابتی یا کسانیکه قندخون پایینی دارند باید با احتیاط آن را مصرف کنند.<sep>مصرف غلات برای کنترل قند خون مفید است.	n
پس از این ارزیابی سپس مشارکت کنندگان به مجموعه دیگری از شبیه‌سازی‌ها برای استفاده مهارت‌های آموخته شده توجه داده می‌شوند.<sep>ارزیابی میان شرکت کنندگان صورت نمی گیرد.	c
چندی پیش یک قلاده توله ببر بنگال در خیابان امامت مشهد مشاهده و فیلم آن در شبکه های اجتماعی و فضای مجازی انتشار یافت و با اقدام سریع اداره کل حفاظت محیط زیست خراسان رضوی ظرف کمتر از 48 ساعت ردیابی محل فیلمبرداری محقق شد.<sep>موقعیت چند قلاده توله ببر در خیابان‌های مشهد نامشخص است.	c
این بیانیه می افزاید: با توجه به تمایل دو کشور همسایه در زمینه پیشبرد و رشد و توسعه روابط اقتصادی و تجاری و فعال کردن توافقنامه های دوجانبه مشترک که نقش بسزایی در افزایش حجم مبادلات تجاری میان دو کشور داشته، میزان مبادلات تجاری با ایران به طور روزافزون در حال افزایش است.<sep>افزایش مبادلات تجاری با ایران در نتیجه تمایل دو کشور همسایه در توافق‌های دوجانبه بوده است.	e
بیزانسی‌ها با استفاده از نابسامانیهای موجود تا عمق قلمروهای خسرو انوشیروان پیشروی کردند. حتی نیروهای آبی خاکی را در آنسوی دریای خزر هم تدارک دیدند.<sep>ایرانیها در بیرون از ملطبه از بیزانسیها شکست خورده و تلفات سنگینی دادند. 	e
اما من هرگز احساس نیاز به پوشیدن لباسهایی به آن گرمی را ندارم، برای کار به سفری به ان طول نیاز ندارم، اوههم اووووم در در در مورد لباسهای زمان زمستان چطور؟<sep>من برای شغلم باید به هواپیما برسم.	c
من هر دو شرط را برنده می شوم ، و ۱۲۵ سامولانی را به ثمر می رسانم.<sep>من وقتی هر دو شرط خود را از دست دادم ، ۵۰۰ سامولانی را از دست دادم.	c
وی به زودی با نوشتن «تاریخچه جنبش حق رای زنان» با او همکاری کرد.<sep>وی با او مخالفت کرد.	c
امیر مفخم از ناصرالدین‌شاه قاجار، مظفرالدین‌شاه، محمدعلی‌شاه و احمدشاه قاجار احکام مختلفی دریافت نمود؛ ولی اوج قدرت و نفوذ وی، به زمان پادشاهی محمدعلی‌شاه یعنی در فاصله سال‌های ۱۲۸۵ تا ۱۲۸۸ هجری شمسی بازمی‌گردد.<sep>امیر مفخم عضو دربار چند پادشاه بود.	e
رضاخان پس از این جنگ به شهر فارسان (فارسون)رفته و برای مدتی در آنجا به حکم محمد رضاخان چالشتری به حکومت آن منطقه می پردازد.<sep>رضا خان مدتی پس از جنگ در شهر فارسان بعنوان حاکم شهر گمارده میشود. 	e
به نظر می رسد کارزارها به کمک‌کنندگان جدیدی دسترسی پیدا کرده‌اند . <sep>افراد جدیدی انتخاب کرده‌اند که به این امر کمک کنند. 	e
پیت استارک برای متوقف کردن تمرین ، در حال جنگ صلیبی است.<sep>تمرین شر است و پیت استارک قهرمان است.	n
دادیار و بازپرس پس از ارجاع پرونده از سوی دادستان یا معاون او تحقیقات مقدماتی را انجام می‌دهند و دلایل را جمع‌آوری می‌کنند و در نهایت یکی از قرارهای نهائی (قرار موقوفی تعقیب، قرار منع تعقیب، قرار مجرمیت) را صادر می‌نمایند.<sep>دادیار و بازپرس وظیفه جمع آوری دلایل و تحقیقات مقدماتی را بر عهده دارند.	e
از دهه ۱۹۲۰، بیشتر ترابری دریایی روسیه از دریای سفید به بندر جدید مورمانسک (که به‌طور رسمی در سال ۱۹۱۶ تأسیس شد) منتقل شد، زیرا آب دریا در اطراف این بندر در زمستان منجمد نمی‌شود.<sep>مزیت بندر مورناسک این است که آب آن در زمستان منجمد نمی شود.	e
بله ، فکر می کنم واقعاً باید نظم و انضباط داشته باشید.<sep>انجام این امر واقعاً به انضباط زیادی احتیاج ندارد.	c
برای بهره مندی از تأثیر کامل مهارت معمار ، از طریق دروازه ای که روی هیپودروم باز می شود وارد حیاط شوید.<sep>دروازه هیپودروم نمونه ای از مهارت معمار است.	e
کوه زیبد یکی از قله‌های مرتفع رشته کوه سیاه کوه یا قُهستان است.<sep>سرسبزی رشته کوه های قهستان مثال زدنی است.	n
درخواست کاسيانوف برای نامزد شدن در انتخابات توسط دهها هزار نفر امضا شده است.<sep>انتخابات با مشارکت تعداد کمی برگزار گردید.	n
او گفت تحريم ها به مردم ايران آسيب نمی‌رساند ، اما دولت را به خود می‌آورد.<sep>اثر مخرب تحریم‌ها روی مردم اجتناب ناپذیر است.	c
این الگوریتم یک نسخه تصادفی از الگوریتم جستجوی عمق-اول است. این الگوریتم که غالباً توسط پشته پیاده‌سازی می‌شود یکی از ساده‌ترین راه‌ها برای تولید یک هزارتو توسط رایانه است.<sep>تولید هزارتو با این الگوریتم پیچیدگی های خاص خود را دارد.	c
ویلفرد مادلونگ در دانشنامه ایرانیکا می‌نویسد پس از دو ماه عدم فعالیت، حسن نامه‌ای به معاویه نوشت و او را به بیعت با خود فراخواند و به وی یادآوری نمود که به علت اینکه نوه محمد است، استحقاق بیشتری از معاویه به این عنوان دارد.<sep>معاویه ستمگر بود.	n
پس از پایان جنگ جهانی دوم هنگامی که کلنل ادی بالاخره از خاورمیانه به واشنگتن بازگشت، به همراه تیمی از همکاران خود درسال ۱۹۴۷ سازمان یا مرکز اطلاعاتی«سیا» را پایه ریزی کرد.<sep>کلنل ادی مرکز اطلاعاتی سیا را قبل از جنگ جهانی دوم تاسیس کرد.	c
«تاکیرو فوجی موتو» از دانشگاه توکیو و و رییس نیسان می‌گوید: «داشتن استراتژیست درجه یک به‌عنوان مدیرارشد، باعث موفقیت ما در تولید هشت مدل جدید در سال ۲۰۰۳ شد.»<sep>نیسان با هشت مدل جدید به‌سوی نمایشگاه ۲۰۰۳ پیش رفت.	e
تحقیقات طی ۲۰ سال گذشته دیدگاه علمی در مورد زندگی را تغییر داده است.<sep>۵ سال گذشته ی تحقیق از نسبت بالاتری از تاثیرگذاری برخوردار است.	n
تپه قلا خرنه مربوط به دوران‌های تاریخی پس از اسلام است و در شهرستان دورود، بخش مرکزی، روستای حشمت آباد واقع شده و این اثر در تاریخ با شمارهٔ ثبت ۱۱۷۲۳ به‌عنوان یکی از آثار ملی ایران به ثبت رسیده است.<sep>حکومتها می آیند و میروند و دستاوردهای مردم است که برجای میمانند.	n
با پوشیدن حوله و قلاب حمام ، شما به حمام مرمری پربخار راهنمایی می‌شوید، که قبل از آنکه یک خدمتکار با یک دستکش زبر مشغول زدودن آلودگی و پوستهای مرده شما شود و پوستتان را صورتی و درخشان کند، چند سطل آب گرم روی شما ریخته خواهد شد.<sep>بعد از ریختن آب داغ روی بدن ، یک خدمتکار دستکش به دست، مشغول سابیدن پوست شما می‌شود تا زمانی که صورتی و براق شوید.	e
ارلنبورن ، عضو سابق ایالات متحده<sep>ارلنبورن هرگز در ایالات متحده نبود.	c
این رسانه‌ها اعلام کردند حسین انصاری رهبر جنبش النهضت تونس، پیام تبریکی برای مستربین ارسال کرده‌است.<sep>در مهر ۱۳۹۲، برخی رسانه‌ها با نگاهی به مقاله "ادعای مضحک امروز" نوشته شده در "سایت اسراییل کول" از مسلمان شدن روآن اتکینسون خبر دادند.	n
پس از این شکست ژاپن با بیش از ۱۳ میلیون نفر بیکار مواجه بود و کمبود مواد غذایی به شدت احساس می‌شد.<sep>با وجود بیکاری کمبود مواد غذایی احساس نمی شد.	c
شرط می بندم حتی گربه های من هم می توانند این کار را انجام دهند<sep>گربه های من احتمالاً می توانند این کار را انجام دهند زیرا باهوش هستند.	n
بسیاری از بناهای گوتیک و رنسانس ترمیم شده اند.<sep>بسیاری از بناهای گوتیک و رنسانس در آنجا وجود دارد.	e
آیا بدن زن شخصی ترین دارایی او نیست؟<sep>بدن زنان متعلق به خودشان است ، آنها باید تصمیم بگیرند که با آن چه کار کنند.	n
پس من چی؟<sep>منم همین طور؟	e
در مراسم سوگند، پرزيدنت بوش گفت نظام اطلاعاتی آمريکا، پس از پنج سال که از واقعه يازدهم سپتامبر ميگذرد، هنوز به اصلاح و بهبود نياز دارد.<sep>دريابان بازنشسته مايک مک کانل، McConnel که ۶۳ سال دارد، روز سه شنبه برای تصدی مقام رياست اطلاعات ملی آمريکا سوگند ياد کرد.	n
آقای براون پس از مذاکرات کمپ ديويد برای ملاقات با بن کی مون دبير کل سازمان ملل متحد به نيويورک خواهد رفت.<sep>گوردون براون نخست وزير بريتانيا برای برگزاری اولين گفتگوی خود با پرزيدنت بوش پس از احراز اين مقام، به آمريکا آمده است.	n
غیر از مسایل نژادی از لحاظ عقیدتی هم بین یهودیان اختلاف وجود داشت؛ به اینصورت که سامریون معتقد بودند که یهوه صهیون را به عنوان مقر معبد انتخاب نکرده بلکه اورشلیم را برگزیده‌است.<sep>تقسیم‌بندی با توجه به نژاد بین یهودیان معمول بود.	e
نقاشانی که به تعامل نور با مدل‌ها و محیط اطرافشان اهمیت بسزایی می‌دادند.<sep>نقش نور در نقاشی شان بسیار مهم بود.	e
